TYPE,Mean,SD,Scale,Slight,SD,Scale,Moderate,SD,Scale,Extensive,SD,Scale,Complete,SD,Scale
W1_L_1,211.3,0.33011,1,143,0.16,1,163,0.17,1,200,0.26,1,259,0.28,1
W2_L_1,211.3,0.33011,1,143,0.16,1,163,0.17,1,200,0.26,1,259,0.28,1
W3_L_1,130.64,0.42841,1,62,0.16,1,82,0.17,1,120,0.26,1,180,0.28,1
N_L_1,171.91,0.36341,1,103,0.16,1,123,0.17,1,162,0.26,1,219,0.28,1
CHB_L_1,256.9,0.331,1,164,0.15,1,188,0.19,1,230,0.22,1,324,0.17,1
URA_L_1,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
URM_L_1,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
RM1_L_1,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
RM2_L_1,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
MWS_L_1,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
CWS_L_1,221.67,0.35867,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
C1_L_1,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
C2_L_1,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
C4_L_1,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
PC1_L_1,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
PC2_L_1,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
S1_L_1,235.1,0.50415,1,154,0.35,1,180.45,0.4,1,202.75,0.43,1,315.1,0.46,1
S2_L_1,235.1,0.50415,1,154,0.35,1,180.45,0.4,1,202.75,0.43,1,315.1,0.46,1
S3_L_1,348.76,0.33155,1,231,0.24,1,270,0.24,1,322,0.24,1,478,0.36,1
S4_L_1,235.1,0.50415,1,154,0.35,1,180.45,0.4,1,202.75,0.43,1,315.1,0.46,1
W1_L_2,211.3,0.33011,1,143,0.16,1,163,0.17,1,200,0.26,1,259,0.28,1
W2_L_2,211.3,0.33011,1,143,0.16,1,163,0.17,1,200,0.26,1,259,0.28,1
W3_L_2,130.64,0.42841,1,62,0.16,1,82,0.17,1,120,0.26,1,180,0.28,1
N_L_2,171.91,0.36341,1,103,0.16,1,123,0.17,1,162,0.26,1,219,0.28,1
CHB_L_2,256.9,0.331,1,164,0.15,1,188,0.19,1,230,0.22,1,324,0.17,1
URA_L_2,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
URM_L_2,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
RM1_L_2,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
RM2_L_2,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
MWS_L_2,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
CWS_L_2,221.67,0.35867,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
C1_L_2,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
C2_L_2,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
C4_L_2,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
PC1_L_2,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
PC2_L_2,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
S1_L_2,235.1,0.50415,1,154,0.35,1,180.45,0.4,1,202.75,0.43,1,315.1,0.46,1
