TYPE,Mean,SD,Scale
W1_L_1,176,0.09,1
W2_L_1,176,0.09,1
W3_L_1,95.31,0.25,1
N_L_1,136,0.2,1
CHB_L_1,455,0.59,1
URA_L_1,416.4089565,0.523496779,1
URM_L_1,321,0.52,1
RM1_L_1,321,0.52,1
RM2_L_1,321,0.52,1
MWS_L_1,321,0.52,1
CWS_L_1,321,0.52,1
C1_L_1,416.4089565,0.523496779,1
C2_L_1,416.4089565,0.523496779,1
C4_L_1,416.4089565,0.523496779,1
PC1_L_1,416.4089565,0.523496779,1
PC2_L_1,416.4089565,0.523496779,1
S1_L_1,379.1,0.61,1
S2_L_1,379.1,0.61,1
S3_L_1,387,0.37,1
S4_L_1,379.1,0.61,1
W1_L_2,176,0.09,1
W2_L_2,176,0.09,1
W3_L_2,95.31,0.25,1
N_L_2,136,0.2,1
CHB_L_2,455,0.59,1
URA_L_2,416.4089565,0.523496779,1
URM_L_2,321,0.52,1
RM1_L_2,321,0.52,1
RM2_L_2,321,0.52,1
MWS_L_2,321,0.52,1
CWS_L_2,321,0.52,1
C1_L_2,416.4089565,0.523496779,1
C2_L_2,416.4089565,0.523496779,1
C4_L_2,416.4089565,0.523496779,1
PC1_L_2,416.4089565,0.523496779,1
PC2_L_2,416.4089565,0.523496779,1
S1_L_2,379.1,0.61,1
S2_L_2,379.1,0.61,1
S3_L_2,387,0.37,1
S4_L_2,379.1,0.61,1
W1_M,176,0.09,1
W2_M,176,0.09,1
W3_M,95.31,0.25,1
N_M,136,0.2,1
CHB_M,455,0.59,1
URA_M,416.4089565,0.523496779,1
URM_M,321,0.52,1
RM1_M,321,0.52,1
RM2_M,321,0.52,1
MWS_M,321,0.52,1
CWS_M,321,0.52,1
C1_M,221,0.33,0.133333
C2_M,221,0.33,0.133333
C4_M,221,0.33,0.133333
PC1_M,221,0.33,0.133333
PC2_M,221,0.33,0.133333
S1_M,180,0.24,0.1333333
S2_M,180,0.24,0.1333333
S3_M,387,0.37,1
S4_M,180,0.24,0.1333333
W1_H,176,0.09,1
W2_H,176,0.09,1
W3_H,95.31,0.25,1
N_H,136,0.2,1
CHB_H,455,0.59,1
URA_H,416.4089565,0.523496779,1
URM_H,321,0.52,1
RM1_H,321,0.52,1
RM2_H,321,0.52,1
MWS_H,321,0.52,1
CWS_H,321,0.52,1
C1_H,221,0.33,0.133333
C2_H,221,0.33,0.133333
C4_H,221,0.33,0.133333
PC1_H,221,0.33,0.133333
PC2_H,221,0.33,0.133333
S1_H,180,0.24,0.1333333
S2_H,180,0.24,0.1333333
S3_H,387,0.37,1
S4_H,180,0.24,0.1333333
W1_V,176,0.09,1
W2_V,176,0.09,1
W3_V,95.31,0.25,1
N_V,136,0.2,1
CHB_V,455,0.59,1
URA_V,416.4089565,0.523496779,1
URM_V,321,0.52,1
RM1_V,321,0.52,1
RM2_V,321,0.52,1
MWS_V,321,0.52,1
CWS_V,321,0.52,1
C1_V,221,0.33,0.133333
C2_V,221,0.33,0.133333
C4_V,221,0.33,0.133333
PC1_V,221,0.33,0.133333
PC2_V,221,0.33,0.133333
S1_V,180,0.24,0.1333333
S2_V,180,0.24,0.1333333
S3_V,387,0.37,1
S4_V,180,0.24,0.1333333
W1_E,176,0.09,1
W2_E,176,0.09,1
W3_E,95.31,0.25,1
N_E,136,0.2,1
CHB_E,455,0.59,1
URA_E,416.4089565,0.523496779,1
URM_E,321,0.52,1
RM1_E,321,0.52,1
RM2_E,321,0.52,1
MWS_E,321,0.52,1
CWS_E,321,0.52,1
C1_E,221,0.33,0.133333
C2_E,221,0.33,0.133333
C4_E,221,0.33,0.133333
PC1_E,221,0.33,0.133333
PC2_E,221,0.33,0.133333
S1_E,180,0.24,0.1333333
S2_E,180,0.24,0.1333333
S3_E,387,0.37,1
S4_E,180,0.24,0.1333333
W1_S,176,0.09,1
W2_S,176,0.09,1
W3_S,95.31,0.25,1
N_S,136,0.2,1
CHB_S,455,0.59,1
URA_S,416.4089565,0.523496779,1
URM_S,321,0.52,1
RM1_S,321,0.52,1
RM2_S,321,0.52,1
MWS_S,321,0.52,1
CWS_S,321,0.52,1
C1_S,221,0.33,0.133333
C2_S,221,0.33,0.133333
C4_S,221,0.33,0.133333
PC1_S,221,0.33,0.133333
PC2_S,221,0.33,0.133333
S1_S,180,0.24,0.1333333
S2_S,180,0.24,0.1333333
S3_S,387,0.37,1
S4_S,180,0.24,0.1333333
